country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Albania,,,,,,,,,,,,2420,2960,3000,2710,2910,3080,3170,3480,3390,3430,2690,2650,2810,3010,2810,3000,2900,2890,2900,2450,1920,1400,1330,1280,1240,1330,1100,1090,1070,986,883,959,1050,1150,1170,1190,1060,1150,1250,
Algeria,,,,,,,,,,,,41500,54700,56500,53300,53000,58800,62100,69500,75800,65700,67200,67300,74100,77000,80800,84100,88800,91000,94800,100000,103000,104000,105000,101000,107000,113000,122000,127000,137000,142000,137000,143000,155000,158000,167000,165000,164000,162000,152000,
Angola,,,,,,,,,,,,9120,10500,11700,12100,11400,11200,10700,10200,11000,11300,10300,10400,12900,14300,15700,18300,22300,27100,27200,28700,30000,32800,30500,33000,36400,39800,41600,43000,43600,43700,43500,51400,51400,57600,70900,80000,95100,106000,101000,
Argentina,,,,,,,,,,,,30600,31000,30500,30900,30600,31000,32700,33900,36400,38800,39500,40000,42000,42900,42600,42900,43300,46300,47200,48400,50200,54300,57000,62400,66900,72000,77500,79700,80100,82300,84500,81300,84300,87100,84700,86200,82900,82900,80800,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,135,263,370,303,245,742,539,547,646,632,602,738,692,746,861,846,826,797,825,
Australia,21300,22500,22900,23600,25400,28300,29600,31200,35300,38700,47700,53900,62400,68000,67500,75000,75300,82300,81600,86500,85400,97200,98600,107000,118000,128000,137000,149000,137000,145000,158000,167000,172000,175000,174000,187000,190000,201000,217000,214000,234000,254000,264000,264000,269000,280000,282000,299000,301000,311000,324000
Austria,7360,7120,7290,7750,7700,8000,8150,7790,7560,7360,7950,7370,7330,7920,7820,7810,7240,7670,7830,8010,7630,7410,7490,7300,7350,7560,7660,8060,9190,8620,8110,8350,8560,8770,8400,8740,8630,8710,8880,9720,9780,9780,9820,9600,9900,10100,10100,10900,11200,11400,11200
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20600,19000,18200,16400,14900,14700,14400,14100,16300,19000,19000,19600,19800,19800,20100,27200,38100,52100,58600,64600,
Bahrain,,,,,,,,,,,,10700,10100,10800,11500,9960,10300,12000,11700,12100,12000,13000,10600,9910,11100,11100,12600,12900,13200,13400,13400,13000,13500,13900,13600,13700,13900,14300,14700,14500,14900,14900,15300,15600,15800,16100,16500,17000,17500,17600,
Bangladesh,,,,,,,,,,,,4850,5040,5340,5480,5460,5780,6020,6180,6400,6750,6880,7330,7780,7970,8420,8950,8780,9820,10200,10800,10900,11400,12000,12500,12800,13000,13100,13700,14400,15200,16200,16700,17600,18400,19300,21200,22100,23400,24800,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3340,3480,3500,3220,3450,3320,3330,3320,3190,3510,3520,3600,3680,3580,3630,3810,3920,4010,4030,4050,
Belgium,14000,13400,13200,13400,13300,12400,10900,10300,9270,8260,7120,6850,6570,6510,6160,7970,8680,9060,8280,7620,8090,8180,9070,11000,12100,14000,14700,14500,13400,13000,13100,13000,12700,12100,11600,11900,12400,13400,13100,13900,13700,13300,13500,13700,13800,13900,13800,14400,14500,15300,15400
Benin,,,,,,,,,,,,1000,1020,1040,1060,1090,1110,1130,1160,1180,1210,1460,1500,1330,1340,1700,1780,1760,1730,1720,1770,1800,1780,1840,1850,1850,1920,1890,1850,1790,1450,1490,1550,1580,1620,1670,1830,1890,1940,2000,
Bolivia,,,,,,,,,,,,2300,3790,4570,4460,4270,4370,4170,4040,3960,4370,4510,4720,4810,4750,4730,4650,4430,4630,4750,4920,5050,5060,5150,5570,5770,5940,5800,5990,5190,5540,6230,7050,8050,10800,13900,14700,15500,16200,14200,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600,4320,3640,3130,758,817,1110,2150,2580,2610,3080,3100,3310,3490,3590,3650,3960,3950,4350,4470,
Botswana,,,,,,,,,,,,,,,,,,,,,,604,638,638,651,692,739,726,868,915,911,936,1040,1050,1070,1060,973,992,1120,1130,1130,1120,1120,1030,1020,1060,1060,979,1040,938,
Brazil,,,,,,,,,,,,49100,50400,51200,53600,53900,54200,55900,57200,60600,64400,66500,71100,80100,94100,102000,102000,106000,105000,108000,104000,105000,105000,106000,111000,112000,119000,126000,134000,142000,148000,152000,167000,178000,183000,195000,207000,216000,228000,230000,
Brunei,,,,,,,,,,,,6650,9350,13200,13600,14300,17700,18900,18900,20300,21100,16700,17000,17200,16400,16100,15600,15500,15200,15300,15600,16400,17500,17200,17600,18200,17700,17600,17000,18600,19700,19900,20300,21200,20800,21100,22300,20800,21100,18900,
Bulgaria,,,,,,,,,,,,5710,5600,5470,5150,6140,6360,6560,6730,7320,7740,8530,9360,9650,9940,9530,9880,10000,10500,10100,9610,8500,8830,9280,9420,10300,10700,10200,10200,9160,9920,10400,10700,10200,10300,10700,11000,9970,10200,9830,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,2960,3020,3080,3140,3200,3260,3320,3370,3420,3480,3540,3590,3610,3670,
Cameroon,,,,,,,,,,,,2450,2500,2550,2620,2690,2760,2870,3430,5030,6710,8070,9050,9370,12400,12500,12400,12600,12000,11600,11000,10700,10800,10500,10500,9800,10300,10900,11300,11000,11100,10700,11000,10900,10800,10500,10300,9250,9300,8850,
Canada,57100,64300,74200,78900,85300,89700,96800,104000,113000,126000,145000,156000,177000,198000,192000,188000,182000,190000,191000,210000,207000,201000,203000,207000,229000,241000,240000,253000,273000,274000,274000,285000,294000,316000,339000,349000,358000,365000,365000,364000,373000,377000,384000,386000,398000,401000,411000,416000,406000,390000,396000
Chile,,,,,,,,,,,,5340,5410,5080,5100,4980,5180,5270,5310,5020,5800,6210,6350,6490,6750,6810,7010,7070,7250,7440,7470,7890,8180,7780,7860,7850,7870,7910,7650,7500,8120,8610,8600,8100,8080,8870,9160,8500,9060,9300,9560
China,,,,,,,,,,,,394000,415000,431000,446000,497000,512000,556000,604000,619000,616000,612000,638000,669000,717000,744000,763000,786000,817000,859000,886000,895000,912000,941000,992000,1070000,1100000,1100000,1090000,1060000,1060000,1090000,1170000,1320000,1490000,1620000,1730000,1820000,1990000,2090000,
Colombia,,,,,,,,,,,,19400,18200,17200,16900,17100,16700,16700,17500,17600,17700,18500,19600,20600,22700,24900,32900,39600,40200,44100,48200,46600,48400,49400,51300,60100,65700,67600,73600,76500,73300,73000,69100,74300,76200,79500,84600,87600,93600,99200,
"Congo, Dem. Rep.",,,,,,,,,,,,5930,6090,6280,6410,6640,8060,8160,8110,8450,8580,8940,9260,9660,10300,10700,10900,11100,11400,11700,12000,12200,12500,12700,13100,13700,14200,14400,14700,15100,17500,18200,18700,19400,20200,20800,21400,22100,22700,23400,
"Congo, Rep.",,,,,,,,,,,,335,672,2440,2860,2220,2510,2250,2880,3230,3820,4600,5140,5870,6540,6410,6550,6940,7690,8670,8750,8780,9390,10300,9810,10100,11200,12500,13700,14600,14600,13600,13100,12100,12500,13600,15400,12500,13300,15300,
Costa Rica,,,,,,,,,,,,663,681,685,692,700,719,694,718,736,767,784,790,832,994,1000,987,1010,1010,994,1030,1060,1280,974,975,962,994,1030,953,1110,1280,1270,1410,1440,2090,2310,2520,2760,2670,2710,
Cote d'Ivoire,,,,,,,,,,,,1640,1700,1760,1830,1900,1960,2020,2090,2210,2420,2850,3300,3600,3620,3800,3820,3750,3590,3310,3380,3460,3790,3930,4050,4250,5160,5440,5410,6030,6010,5970,6530,6780,9550,10600,11900,11500,11400,11900,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5130,4800,4340,4550,4080,4180,4240,4120,4020,3600,3580,3750,3710,3750,3880,3810,4150,4060,3960,4070,
Cuba,,,,,,,,,,,,5350,5030,5300,5490,5570,5600,6060,6590,6840,6520,6560,7140,7290,7470,7420,7770,7890,8090,8670,9440,8350,8380,6550,6710,6190,6670,6530,6070,6910,7910,8160,8210,8020,7480,6290,5980,5810,5700,5570,
Cyprus,,,,,,,,,,,,9.12,9.12,9.12,4.11,6.26,7.93,7.93,8.17,8.41,6.26,6.02,6.02,5.78,6.62,6.73,6.73,6.5,6.02,6.02,6.14,5.54,5.49,5.47,11.7,42.4,43.1,41.6,43,43.6,44.3,44.5,44.7,48.1,50.1,51,51.5,73.1,82.9,84.6,
Czech Republic,,,,,,,,,,,,40000,39700,38500,39100,40500,41500,43300,42000,43200,41200,41300,41900,42500,43100,42700,43600,44700,44100,42400,40900,38600,36300,35800,33300,32400,33100,33500,31500,28800,30700,31400,31500,33500,34500,32900,33600,33800,32800,31200,31400
Denmark,995,932,919,904,805,785,740,538,329,187,378,329,434,426,447,526,596,913,877,972,952,1560,2580,3100,3530,4980,6510,8160,8310,9530,10100,11900,12900,13900,15100,15600,17700,20200,20400,23800,27700,27100,28600,28500,31100,31300,29600,27100,26600,23900,23200
Dominican Republic,,,,,,,,,,,,1210,1250,1210,1250,1260,1330,1310,1360,1400,1330,1560,1730,1760,1920,1350,1380,1410,1180,1010,1030,1040,1340,1450,1450,1440,1450,1460,1380,1490,1420,1500,1510,1540,1610,1880,1890,1900,1880,1890,
Ecuador,,,,,,,,,,,,1380,5300,11900,10300,9470,10800,10700,11600,11900,11800,12100,11900,13700,14900,16000,16400,10600,17100,16000,16500,17300,18400,19700,21500,22100,21900,22000,21400,21400,22700,23000,22200,23700,29300,29400,29900,28900,28600,27300,
