country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,22900,71,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,,,400000,,,
Algeria,,,,,,,,,,,,,,,,,,,10100,,,,,,,,,,,,14,,,13,,15,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,8030,,,,,,68700,,,2030,5960,,,,,,,,,25800
Argentina,,,,360,100000,20,,,105,,,,,,,,1000,1000,,,,,,8020,,6010,,,4000,,431,2670,5000,912,,263,,,
Australia,13,3,,,45700,,,,105,15,,,1,,,27,1020,,1,4,,408,122,12100,2860000,432000,623000,,,10700,1350,209,129,2070,648,1200,9030,822,12000
Austria,,,,,,,,,,,,,,,12,,,,,,3,,,,,,,,,,,,303,,,,,,4
Bahamas,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,1,,,,,9010,1500,,7000,3000
Bangladesh,3950000,163,25200,51900,2800,,247,11200,1130,203,1060,2040000,,6040,,1850000,2720000,12,10600000,105000,59300,15600000,10300,869000,659000,2370000,119000,3800000,231000,102000,147000,29000,102000,480,18400,35800,18300,8980000,
Barbados,,,,,,,,,,,5010,,,,,,,230,,,,,,,,,,,,,,,2000,,881,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,21400,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,16,,,,,806,,,,907,,,5,,,,,4,
Belize,,,,,70000,,,,6010,,,,,,,,,,,,,,,,,,,,60000,,62600,20000,,,,3,,20000,10000
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,65000,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12100,,,,,,6660
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090,,,,,,4,,,
Brazil,,,,,,,,110,,,63,,4330,,210,3020,,,,45000,,,,,2000,,,679,,,,3410,,,150000,346,,,1600
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,850,,2,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30800,,,,,15500,,1510,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,
Canada,10,,,,,354,,,,,,,,,,1310,2400,276,,,,,,,1300,2,,1,2030,4210,851,41,,202,,300,,6,
Cape Verde,,,,,,,,,,,,,2230,,5530,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,1850,,,,,,,,,,,,,,,,,,,,3000,,,,,,,
Chad,,,,,,,,113,,,,,,,,,,,1210,,,,,,,,,,,,,,,,,,,159,
Chile,,90000,,,,,,16800,,,,,,,323000,,30800,,,,,,38000,,,,,2250,,,,2400,,,,157,,,
China,14100,,,,,,,,,,288,,,21900,13,202000,4620000,1390000,238000,38000000,5900000,3360000,16200000,8650000,26100000,6570000,15300000,7270000,11000000,2180000,2530000,21200000,107000000,9480000,9790000,40800000,55300000,9010000,1650000
Colombia,,,,,,,,,,,,,,541,,,28000,,100000,,,,,,,,,,,2,,7710,,,,3070,,,
Comoros,,,,,,,,,,,,,,30100,,35000,,50000,,,,,,,,,,,,,,,,300,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22600,,5400,75100,,18
Costa Rica,,,,,,,,,,,,,,,,,,,128000,,,,,,,8060,716000,,16700,,,,,,,1080,,,55000
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Cuba,20,,,,,,,,176,,3,,180000,,,499000,,,61500,,,,,150000,111000,165,337000,,147000,255000,,5900000,324000,,247000,2600000,268,193000,500000
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,10,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,4,2
Denmark,,,,,,,,,,,,9,,2,,,,,,,1,,,,,,,,,7,,,1,,,4,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,775,,,,,,,,,,,,,
Dominica,,,,,,,,,,72100,,,,,10000,,,,,710,,,,,,5000,,,,715,,178,,,,,,7530,
Dominican Republic,,,,,,,,,,1560000,7,,,,,,2010,3,,,,,,,,2840,25000,,976000,,,3,,10000,14300,1010,,143000,17000
Egypt,,,,,,,,,,15000,,,,,,,,41,,,,,,,,,,78,,,,,,,55,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2000,84500,,101,,500,,,72200,,2800,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,15700,,,,,,,,,,,,,,,
