audience_freshness,poster_url,rt_audience_score,rt_freshness,rt_score,2015_inflation,adjusted,genres,genre_1,genre_2,genre_3,imdb_rating,length,rank_in_year,rating,release_date,studio,title,worldwide_gross,year
92,http://resizing.flixster.com/gxRJwetP1eNIrPR6xlWBfD_VaFc=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/72/11177246_ori.jpg,4.3,89,7.5,-0.0026,712903691.09,"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,7.8,136,7,PG-13,4-Apr-14,Marvel Studios,Captain America: The Winter Soldier,714766572.00,2014
89,http://resizing.flixster.com/gDtbA1iPxTYEjBZeSsIYktCtUiw=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/91/11189194_ori.jpg,4.2,90,7.9,-0.0026,706988165.89,"Sci-Fi
Drama
Action",Sci-Fi,Drama,Action,7.7,130,9,PG-13,11-Jul-14,20th Century Fox,Dawn of the Planet of the Apes,708835589.00,2014
93,http://resizing.flixster.com/YrF_OeTQx3bXNsMLIy_NocjA4wI=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/80/11178082_ori.jpg,4.4,91,7.7,-0.0026,772158880.00,"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,8.1,121,3,PG-13,1-Aug-14,Marvel Studios,Guardians of the Galaxy,774176600.00,2014
86,http://resizing.flixster.com/l9yjA-72sZMYECeOjx-r14mgXtU=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/19/08/11190860_ori.jpg,4.2,72,7,-0.0026,671220455.10,"Sci-Fi
Adventure",Sci-Fi,Adventure,,8.7,169,10,PG-13,7-Nov-14,Paramount Pictures / Warner Bros.,Interstellar,672974414.00,2014
71,http://resizing.flixster.com/YukULOFULUesVZccNjOZzF1YX30=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/12/11181292_ori.jpg,3.8,49,5.7,-0.0026,756677675.77,"Family
Adventure
Action",Family,Adventure,Action,7.1,97,4,PG,30-May-14,Walt Disney Pictures,Maleficent,758654942.00,2014
66,http://resizing.flixster.com/uJRknhjV8s_CDr9Krj6hzk4GzYM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/00/11180032_ori.jpg,3.7,53,5.9,-0.0026,707732953.69,"Fantasy
Adventure
Action",Fantasy,Adventure,Action,6.9,142,8,PG-13,2-May-14,Columbia Pictures,The Amazing Spider-Man 2,709582323.00,2014
76,http://resizing.flixster.com/KK-V3xB7CY355XaejcerpzryvDs=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/97/11179703_ori.jpg,3.9,61,6.3,-0.0026,952624490.27,"Fantasy
Adventure",Fantasy,Adventure,,7.5,144,2,PG-13,17-Dec-14,Warner Bros. / New Line Cinema / MGM,The Hobbit: The Battle of the Five Armies,955113783.00,2014
73,http://resizing.flixster.com/rrb4D1D8S1_ACJFg1qDpd6bY4cQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/98/11189899_ori.jpg,3.8,65,6.3,-0.0026,750140046.17,"Sci-Fi
Adventure",Sci-Fi,Adventure,,6.8,123,5,PG-13,21-Nov-14,Lionsgate Films,The Hunger Games: Mockingjay - Part 1,752100229.00,2014
52,http://resizing.flixster.com/jXWcxIKVUq4G-2vl7aClbKnOXr4=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/05/11180556_ori.jpg,3.3,18,3.9,-0.0026,1088559994.68,"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,5.8,165,1,PG-13,27-Jun-14,Paramount Pictures,Transformers: Age of Extinction,1091404499.00,2014
92,http://resizing.flixster.com/Oi1KcdBv_gG5Xqk84faEkayyX9E=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/08/11180875_ori.jpg,4.3,91,7.6,-0.0026,746171720.76,"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,8.1,131,6,PG-13,23-May-14,20th Century Fox,X-Men: Days of Future Past,748121534.00,2014
85,http://resizing.flixster.com/UFoFQEayDyhzauy9wL-1wGTuKJA=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/21/11172174_ori.jpg,4.2,74,6.6,0.0136,983938347.10,"Family
Comedy
Animation",Family,Comedy,Animation,7.5,98,3,PG,3-Jul-13,Universal / Illumination,Despicable Me 2,970761885.00,2013
84,http://resizing.flixster.com/FsHv4OrR7Fk9IQkc3Jg-Npmypzc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/33/11173373_ori.jpg,4.2,69,6.2,0.0136,799384854.30,"Thriller
Crime
Action",Thriller,Crime,Action,7.2,130,6,PG-13,24-May-13,Universal,Fast & Furious 6,788679850.00,2013
86,http://resizing.flixster.com/M3JgYWjuLaOPruIuhLfHA0GwmtY=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/35/11173584_ori.jpg,4.3,89,7.7,0.0136,1291514391.87,"Comedy
Animation
Adventure",Comedy,Animation,Adventure,7.7,102,1,PG,27-Nov-13,Walt Disney Pictures,Frozen,1274219009.00,2013
80,http://resizing.flixster.com/5CbtiBSzqVjH_ckRVfzJvs-Ocns=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/64/11176450_ori.jpg,4,97,9,0.0136,726116532.72,"Thriller
Sci-Fi
Western",Thriller,Sci-Fi,Western,7.9,91,8,PG-13,4-Oct-13,Warner Bros.,Gravity,716392705.00,2013
79,http://resizing.flixster.com/M8S0ACxWUYK8FJV9hJwnDGK41ZA=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/05/11170594_ori.jpg,4,79,7,0.0136,1231937550.46,"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,Action,7.3,130,2,PG-13,3-May-13,Marvel Studios,Iron Man 3,1215439994.00,2013
76,http://resizing.flixster.com/YdjyBNFfxu1P1f06WcVgadZg8Ow=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/42/11174287_ori.jpg,3.9,56,6.2,0.0136,677113113.86,"Fantasy
Adventure
Action",Fantasy,Adventure,Action,7.2,143,9,PG-13,14-Jun-13,Warner Bros. / Legendary,Man of Steel,668045518.00,2013
82,http://resizing.flixster.com/68fO9SugBdM8ljYJJ32dYp0bs7Q=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/99/11169964_ori.jpg,4,78,6.8,0.0136,753652179.78,"Comedy
Animation
Adventure",Comedy,Animation,Adventure,7.4,104,7,G,21-Jun-13,Walt Disney Pictures / Pixar,Monsters University,743559607.00,2013
86,http://resizing.flixster.com/i3zwngMY9umqr8lAJLKAU4aYlAU=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/69/11176940_ori.jpg,4.1,74,6.8,0.0136,973402222.02,"Fantasy
Adventure",Fantasy,Adventure,,8,161,4,PG-13,13-Dec-13,Warner Bros. / New Line / MGM,The Hobbit: The Desolation of Smaug,960366855.00,2013
90,http://resizing.flixster.com/1a9avHqIjVssHwO097tB_XJMVjs=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/64/11176484_ori.jpg,4.3,89,7.5,0.0136,876652703.76,"Adventure
Sci-Fi",Adventure,Sci-Fi,,7.7,146,5,PG-13,22-Nov-13,Lionsgate,The Hunger Games: Catching Fire,864912963.00,2013
78,http://resizing.flixster.com/sLeSlSjBR_h2MiaJIA63bgyOeHI=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/26/11172694_ori.jpg,3.9,65,6.2,0.0136,653534988.15,"Fantasy
Adventure
Action",Fantasy,Adventure,Action,7.1,112,10,PG-13,8-Nov-13,Marvel Studios,Thor: The Dark World,644783140.00,2013
62,http://resizing.flixster.com/EhgnWr8tKMra_jgh43zALuCZ9Ig=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/67/11176781_ori.jpg,3.6,37,5.1,0.0284,902175843.80,"Comedy
Animation
Adventure",Comedy,Animation,Adventure,6.7,88,5,PG,13-Jul-12,Fox / Blue Sky,Ice Age: Continental Drift,877244782.00,2012
73,http://resizing.flixster.com/GMpkHH7EAcYqczhR8C146yEFbMs=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/91/11169148_ori.jpg,3.8,79,6.8,0.0284,768148576.60,"Comedy
Adventure
Animation",Comedy,Adventure,Animation,7,93,8,PG,8-Jun-12,Paramount / DreamWorks,Madagascar 3: Europe's Most Wanted,746921274.00,2012
